shipment_id,dispatch_date,warehouse_id,destination_city,courier_partner,distance_km,weight_kg,items_count,order_value_inr,promised_days,dispatch_hour,is_weekend_dispatch,is_festival_week,rainfall_mm,customer_prior_late_deliveries,customer_segment,payment_method,actual_delivery_days,delivery_note,is_late
SHP001419,2024-06-06,WH-CHD,jaipur,ValueShip,-2144.9,3.86,2,2338.32,2,21,0,0,5.3,1,Business,UPI,3,,1
SHP007631,2024-05-25,WH-CHD,Ludhiana,ValueShip,2332.1,1.37,5,4613.96,2,16,1,0,6.2,1,Retail,UPI,2,,0
SHP008110,2024-01-09,WH-PUN,Gurugram,BlueDart Lite,945.6,3.65,4,5379.0,3,9,0,0,0.1,1,Wholesale,Netbanking,3,,0
SHP003135,2024-07-15,WH-CHD,Ludhiana,CityRunner,680.5,0.2,1,248.89,2,15,0,0,8.1,0,Retail,Wallet,1,,0
SHP002786,2024-03-16,WH-PUN,Jaipur,ValueShip,2369.4,3.04,5,4761.26,2,14,1,0,0.0,0,Business,UPI,2,,0
SHP000849,2024-03-29,WH-DEL,Patna,BlueDart Lite,1770.9,1.0,1,1127.18,3,16,0,0,0.4,1,Wholesale,Wallet,6,Customer unavailable,1
SHP000180,2024-10-25,WH-DEL,Lucknow,BlueDart Lite,1117.5,2.1,1,246.83,4,14,0,1,5.6,1,Retail,COD,3,,0
SHP000975,2024-11-23,WH-DEL,Guwahati,SwiftEx,1712.0,4.68,4,5379.88,2,18,1,1,6.8,0,Wholesale,COD,3,,1
SHP001863,2024-01-26,WH-CHD,Ludhiana,BlueDart Lite,685.0,4.54,2,539.77,2,19,0,0,4.4,1,Wholesale,Netbanking,1,,0
SHP006089,2024-12-25,WH-PUN,Indore,IndiaPost Express,602.5,3.11,5,3590.74,4,12,0,0,0.0,0,Retail,UPI,4,Delivered on time,0
SHP000185,2024-01-22,WH-CHD,Pune,ValueShip,740.5,0.24,3,747.39,3,15,0,0,0.0,0,Wholesale,COD,1,,0
SHP000191,2024-10-11,WH-BLR,BENGALURU,SwiftEx,60.2,4.93,2,842.42,4,10,0,1,0.4,2,Wholesale,Wallet,4,,0
SHP007909,2024-01-12,WH-BLR,Ludhiana,CityRunner,728.4,2.42,1,1034.34,4,13,0,0,0.0,0,Retail,COD,4,Delivered on time,0
SHP003526,2024-09-09,WH-BLR,Ludhiana,BlueDart Lite,2395.6,0.38,3,3403.58,4,12,0,1,0.0,0,Business,Wallet,3,Left with guard,0
SHP003892,2024-01-25,WH-CHD,Delhi,SwiftEx,1191.7,1.27,3,3925.72,5,14,0,0,0.0,1,Retail,Netbanking,3,,0
SHP004316,2024-02-19,WH-BLR,Jaipur,IndiaPost Express,474.1,4.06,2,554.05,4,17,0,0,,0,Business,Wallet,4,Left with guard,0
SHP008639,2024-11-01,WH-BLR,Bengaluru,SwiftEx,54.1,2.39,3,2518.6,4,8,0,1,4.4,0,Business,COD,4,,0
SHP004937,2024-08-28,WH-DEL,Ludhiana,CityRunner,1820.9,3.74,3,1507.57,3,12,0,0,10.3,0,Retail,Wallet,2,,0
SHP003172,2024-02-04,WH-CHD,chandigarh,CityRunner,64.2,4.12,3,3679.71,5,16,1,0,0.0,0,Wholesale,Netbanking,3,,0
SHP000951,2024-05-04,WH-BLR,Ludhiana,BlueDart Lite,1964.2,1.98,4,5213.1,2,21,1,0,0.0,,Business,COD,4,Customer unavailable,1
SHP005503,2024-12-06,WH-CHD,Jaipur,IndiaPost Express,2037.0,1.95,4,1562.72,4,17,0,0,0.0,0,Wholesale,Wallet,3,Left with guard,0
SHP006419,2024-05-20,WH-PUN,Guwahati,IndiaPost Express,442.7,3.1,4,4678.93,3,13,0,0,6.0,2,Retail,Netbanking,4,,1
SHP003166,2024-04-19,WH-DEL,Indore,ValueShip,721.4,0.95,4,1831.28,4,13,0,0,0.0,0,Business,UPI,4,Delivered on time,0
SHP002315,2024-10-30,WH-PUN,Indore,ValueShip,1731.2,2.75,6,8084.3,5,10,0,1,1.2,1,Business,COD,7,,1
SHP007990,2024-10-05,WH-PUN,Guwahati,CityRunner,1801.9,2.47,1,1181.12,3,13,1,0,0.0,1,Retail,UPI,3,,0
SHP007652,2024-01-20,WH-CHD,Chandigarh,ValueShip,55.6,3.62,4,1872.11,3,8,1,0,0.0,0,Business,COD,2,,0
SHP002636,2024-07-31,WH-DEL,Delhi,ValueShip,60.1,2.54,5,4341.86,4,8,0,0,2.9,1,Retail,Wallet,7,,1
SHP005197,2024-11-08,WH-PUN,Mohali,IndiaPost Express,1205.1,1.71,1,554.72,5,12,0,1,0.0,0,Business,Netbanking,5,,0
SHP006129,2024-05-16,WH-PUN,Delhi,IndiaPost Express,1086.8,2.44,4,5318.45,2,16,0,0,0.0,,Wholesale,Wallet,2,Delivered on time,0
SHP000815,2024-04-05,WH-BLR,Delhi,CityRunner,1516.6,1.39,2,2488.13,5,12,0,0,0.0,1,Wholesale,Netbanking,4,,0
SHP007855,2024-01-04,WH-PUN,Patna,ValueShip,2259.5,3.36,2,1363.2,4,8,0,0,4.2,1,Wholesale,COD,5,,1
SHP008913,2024-02-24,WH-BLR,Gurugram,ValueShip,216.8,,3,2291.2,3,17,1,0,,0,Retail,UPI,2,Delivered on time,0
SHP002360,2024-01-13,WH-BLR,Guwahati,SwiftEx,200.3,1.24,6,,4,19,1,0,2.0,0,Wholesale,UPI,4,,0
SHP002221,2024-03-14,WH-BLR,Delhi,IndiaPost Express,1467.7,3.59,4,3359.88,3,8,0,0,11.2,0,Business,Card,3,Delivered on time,0
SHP008825,2024-03-03,WH-DEL,Bengaluru,CityRunner,1028.4,3.19,3,3163.62,3,21,1,0,5.9,1,Business,Wallet,3,Left with guard,0
SHP008496,2024-01-14,WH-CHD,Pune,ValueShip,1526.7,2.31,1,181.65,5,20,1,0,0.0,0,Wholesale,COD,3,,0
SHP001511,2024-06-21,WH-BLR,Ludhiana,ValueShip,1061.8,3.19,2,627.23,4,14,0,0,5.2,1,Retail,Wallet,3,,0
SHP008280,2024-11-17,WH-PUN,Gurugram,ValueShip,2217.6,1.16,5,3914.36,5,15,1,0,3.0,0,Business,UPI,6,,1
SHP008971,2024-05-12,WH-CHD,Gurugram,BlueDart Lite,826.0,1.12,4,2368.49,3,16,1,0,2.4,0,Wholesale,Netbanking,2,,0
SHP002324,2024-07-10,WH-DEL,Lucknow,CityRunner,1407.6,4.6,5,4983.27,3,17,0,0,3.6,1,Retail,Wallet,5,,1
SHP000645,2024-08-26,WH-BLR,Ludhiana,SwiftEx,1140.5,2.38,5,2557.96,3,14,0,0,9.7,0,Retail,Card,6,Address updated,1
SHP001772,2024-01-20,WH-DEL,Bengaluru,SwiftEx,1224.1,4.33,1,1268.57,3,14,1,0,0.0,0,Business,Netbanking,3,,0
SHP001928,2024-02-17,WH-DEL,Chandigarh,CityRunner,859.8,0.71,4,3859.65,3,18,1,0,0.0,2,Wholesale,Card,3,,0
SHP003913,2024-11-07,WH-PUN, Ludhiana,CityRunner,2038.5,1.47,2,389.44,5,8,0,1,0.0,0,Retail,Netbanking,5,,0
SHP007863,2024-08-16,WH-CHD,Jaipur,IndiaPost Express,1304.3,2.12,6,7445.56,4,9,0,0,8.0,0,Retail,Card,5,,1
SHP005520,2024-01-09,WH-PUN,Indore,BlueDart Lite,2136.8,2.63,3,1715.24,3,21,0,0,,0,Business,Wallet,3,,0
SHP007388,2024-06-04,WH-BLR,PATNA,IndiaPost Express,1019.0,1.09,1,983.07,3,14,0,0,7.8,0,Wholesale,UPI,4,,1
SHP005548,2024-07-17,WH-CHD,Delhi,BlueDart Lite,641.1,0.24,3,3951.01,4,17,0,0,,1,Retail,COD,2,,0
SHP001036,2024-02-29,WH-BLR,Indore,CityRunner,2009.1,4.18,3,845.83,3,17,0,0,8.5,,Business,Wallet,2,,0
SHP001512,2024-01-13,WH-PUN,Ludhiana,IndiaPost Express,1501.2,6.57,5,1164.96,2,16,1,0,,0,Business,Wallet,1,,0
SHP001556,2024-03-20,WH-PUN,GURUGRAM,IndiaPost Express,1716.5,1.73,3,1502.99,4,9,0,0,3.8,,Wholesale,Card,4,,0
SHP003367,2024-06-22,WH-DEL,Jaipur,IndiaPost Express,451.2,2.47,1,181.65,3,17,1,0,2.8,0,Retail,Card,3,Delivered on time,0
SHP007566,2024-06-13,WH-CHD,Mohali,SwiftEx,346.6,0.96,2,2626.1,5,9,0,0,,1,Wholesale,COD,3,,0
SHP005009,2024-02-05,WH-CHD,Delhi,IndiaPost Express,1916.1,1.29,3,1838.96,3,11,0,0,1.2,1,Retail,UPI,5,,1
SHP008055,2024-05-28,WH-PUN,Guwahati,IndiaPost Express,669.3,2.2,4,4397.68,2,18,0,0,8.4,0,Wholesale,COD,1,,0
SHP005262,2024-06-22,WH-DEL,Guwahati,CityRunner,1450.4,0.6,7,9564.05,3,20,1,0,1.4,2,Business,Netbanking,3,,0
SHP005309,2024-03-30,WH-DEL,Mohali,SwiftEx,2178.7,0.72,2,668.97,4,16,1,0,0.0,0,Business,Card,4,,0
SHP005617,2024-06-03,WH-PUN,Chandigarh,SwiftEx,203.5,0.52,3,3775.35,3,13,0,0,4.9,1,Wholesale,UPI,3,Delivered on time,0
SHP004712,2024-10-11,WH-PUN,Indore,ValueShip,1383.2,4.0,3,1660.04,3,15,0,0,12.9,0,Business,Card,2,Delivered on time,0
SHP004227,2024-06-02,WH-PUN,Chandigarh,SwiftEx,1875.3,4.2,3,2651.14,3,21,1,0,0.0,0,Retail,UPI,3,Left with guard,0
SHP003262,2024-03-08,WH-DEL,Patna,BlueDart Lite,2134.8,2.53,4,Rs. 4968.08,4,12,0,0,0.0,0,Wholesale,COD,4,,0
SHP002577,2024-04-27,WH-BLR,Ludhiana,SwiftEx,727.1,1.94,4,5151.68,2,17,1,0,0.0,0,Retail,Wallet,2,,0
SHP004478,2024-04-08,WH-BLR,Indore,CityRunner,1681.5,2.92,2,2481.01,3,8,0,0,6.2,0,Business,COD,6,Address updated,1
SHP001563,2024-07-11,WH-BLR,Patna,IndiaPost Express,1554.3,1.73,6,6123.16,4,9,0,0,0.8,1,Retail,COD,3,,0
SHP006286,2024-11-01,WH-DEL,Guwahati,ValueShip,443.9,2.81,4,736.4,3,10,0,0,4.2,0,Wholesale,Card,3,,0
SHP000055,2024-11-23,WH-BLR,Ludhiana,CityRunner,2559.1,3.67,7,4572.62,3,14,1,0,5.1,0,Business,Card,3,Delivered on time,0
SHP002060,2024-10-07,WH-PUN,Ludhiana,SwiftEx,1753.8,1.29,3,986.88,3,15,0,0,0.0,0,Retail,UPI,3,Delivered on time,0
SHP001288,2024-10-18,WH-BLR,Delhi,IndiaPost Express,1179.0,2.75,2,697.38,4,19,0,0,3.4,1,Business,Wallet,4,,0
SHP008671,2024-11-15,WH-BLR, Guwahati,ValueShip,1979.6,5.09,5,2257.5,3,20,0,0,0.0,0,Retail,Card,2,,0
SHP007962,2024-02-02,WH-BLR,DELHI,ValueShip,1447.1,2.85,4,3299.64,2,15,0,1,17.5,0,Business,COD,1,,0
SHP007608,2024-12-29,WH-PUN,Guwahati,ValueShip,1462.7,2.92,5,6044.73,4,11,1,0,0.0,1,Retail,Card,5,Customer unavailable,1
SHP008162,2024-02-11,WH-PUN,Guwahati,SwiftEx,1407.1,999.0,2,1154.89,3,19,1,0,0.0,1,Wholesale,UPI,4,Customer unavailable,1
SHP006083,2024-10-06,WH-BLR,Jaipur,ValueShip,523.5,5.51,4,3974.47,2,10,1,1,5.2,,Wholesale,Wallet,3,Reattempt scheduled,1
SHP006723,2024-05-02,WH-PUN,Delhi,CityRunner,1356.2,3.39,2,2364.5,2,14,0,0,9.5,0,Business,UPI,2,Left with guard,0
SHP004202,2024-11-24,WH-PUN,Chandigarh,CityRunner,402.6,1.97,4,2122.17,5,12,1,0,,1,Retail,Card,5,,0
SHP001606,2024-04-26,WH-PUN,Indore,CityRunner,460.0,2.3,3,1525.74,2,19,0,0,4.3,0,Wholesale,Wallet,2,,0
SHP000223,2024-03-16,WH-BLR,Patna,SwiftEx,377.5,1.28,4,2228.94,3,17,1,0,3.2,2,Retail,UPI,4,Address updated,1
SHP002089,2024-06-20,WH-BLR,Indore,BlueDart Lite,396.0,1.09,1,627.37,3,13,0,0,0.4,0,Business,Card,2,Delivered on time,0
SHP001601,2024-09-24,WH-BLR,Bengaluru,SwiftEx,63.0,3.36,3,3777.19,2,14,0,0,2.5,0,Retail,Wallet,2,Delivered on time,0
SHP006831,2024-10-24,WH-BLR,ludhiana,BlueDart Lite,2688.6,2.64,2,854.55,2,8,0,1,0.0,0,Business,Wallet,2,Delivered on time,0
SHP008459,2024-10-18,WH-CHD,Mohali,SwiftEx,1662.2,2.79,4,2346.32,2,17,0,1,7.5,0,Wholesale,Wallet,3,Customer unavailable,1
SHP004645,2024-10-21,WH-CHD,Ludhiana,CityRunner,1433.2,5.17,3,2995.91,4,8,0,1,4.9,3,Wholesale,Card,5,Reattempt scheduled,1
SHP001228,2024-08-02,WH-BLR,Delhi,BlueDart Lite,2339.1,,3,1828.44,3,18,0,0,7.9,1,Business,Wallet,3,,0
SHP003162,2024-12-13,WH-PUN,Delhi,IndiaPost Express,1514.6,2.42,4,2493.69,3,21,0,0,9.0,0,Business,UPI,4,Customer unavailable,1
SHP003306,2024-12-02,WH-PUN,Patna,IndiaPost Express,2369.2,1.15,3,3001.15,4,8,0,0,0.0,1,Business,Wallet,2,Left with guard,0
SHP004106,2024-02-11,WH-PUN,Lucknow,ValueShip,998.0,1.37,2,1690.07,3,13,1,0,6.7,1,Retail,UPI,4,,1
SHP005697,2024-04-01,WH-DEL,Indore,BlueDart Lite,1024.9,6.81,3,3756.14,2,18,0,0,0.0,0,Wholesale,Netbanking,3,Reattempt scheduled,1
SHP004319,2024-03-11,WH-BLR,Bengaluru,CityRunner,77.2,2.4,3,1833.34,3,10,0,0,0.0,1,Business,Wallet,3,Delivered on time,0
SHP007758,2024-01-09,WH-DEL,Indore,BlueDart Lite,1063.2,4.99,1,1377.83,4,16,0,0,0.0,2,Wholesale,COD,4,Left with guard,0
SHP006122,2024-01-12,WH-DEL,Lucknow,CityRunner,543.1,3.01,4,2986.16,4,11,0,0,0.6,1,Business,Netbanking,4,,0
SHP007877,2024-03-10,WH-BLR,Mohali,CityRunner,1950.4,0.47,6,7198.14,3,20,1,0,0.0,1,Wholesale,UPI,4,,1
SHP006211,2024-09-26,WH-BLR,Indore,SwiftEx,1946.1,1.42,4,3280.18,4,16,0,0,14.4,1,Retail,UPI,3,Delivered on time,0
SHP007791,2024-01-31,WH-BLR,Chandigarh,BlueDart Lite,409.9,4.21,4,1427.78,4,20,0,0,0.5,0,Business,COD,4,,0
SHP002819,2024-01-09,WH-BLR,Lucknow,ValueShip,2304.6,1.82,2,1136.78,3,16,0,0,4.1,0,Retail,UPI,5,Customer unavailable,1
SHP004480,2024-01-05,WH-PUN,Pune,CityRunner,55.3,3.42,4,2521.43,4,19,0,0,2.5,0,Wholesale,Netbanking,4,Delivered on time,0
SHP005577,2024-10-05,WH-PUN,Lucknow,SwiftEx,338.9,3.15,4,3942.55,2,9,1,1,6.6,0,Business,COD,1,Left with guard,0
SHP001851,2024-01-30,WH-PUN,Patna,CityRunner,2061.7,3.3,2,997.62,3,19,0,0,0.0,1,Retail,Wallet,3,,0
SHP008367,2024-03-18,WH-CHD,Pune,IndiaPost Express,2330.7,0.23,3,3205.27,3,15,0,0,3.5,0,Business,UPI,5,,1
SHP008963,2024-08-25,WH-BLR,Delhi,IndiaPost Express,1094.8,4.36,1,693.79,3,16,1,0,0.0,1,Retail,Netbanking,1,,0
SHP003761,2024-05-22,WH-DEL,Jaipur,BlueDart Lite,2291.4,3.78,6,8288.42,3,17,0,0,0.0,0,Retail,UPI,3,Delivered on time,0
SHP008696,2024-06-21,WH-PUN,Guwahati,IndiaPost Express,694.9,3.71,1,1267.03,5,16,0,0,0.0,0,Retail,COD,5,,0
SHP003813,2024-08-31,WH-PUN,Guwahati,ValueShip,368.2,2.14,4,3215.25,5,8,1,1,,,Wholesale,Wallet,7,,1
SHP006215,2024-08-09,WH-DEL,Indore,IndiaPost Express,1043.0,0.53,3,1567.09,2,15,0,0,1.0,1,Business,Card,2,Left with guard,0
SHP000524,2024-03-01,WH-CHD,Guwahati,CityRunner,667.6,6.37,1,1251.61,2,18,0,0,10.2,0,Business,Netbanking,2,,0
SHP002521,2024-05-12,WH-CHD,Mohali,IndiaPost Express,1916.7,1.17,4,1724.37,4,16,1,0,0.0,0,Wholesale,Netbanking,4,Left with guard,0
SHP003730,2024-10-12,WH-DEL,Bengaluru,IndiaPost Express,1808.6,3.58,2,1442.67,3,12,1,1,0.5,0,Retail,Netbanking,7,,1
SHP002808,2024-07-26,WH-DEL,Bengaluru,BlueDart Lite,2176.6,2.6,2,1295.19,2,16,0,0,3.7,2,Retail,Netbanking,5,,1
SHP005385,2024-05-20,WH-BLR,Delhi,IndiaPost Express,1994.0,,4,2590.98,3,20,0,0,0.0,2,Wholesale,Netbanking,4,Reattempt scheduled,1
SHP000304,2024-02-29,WH-PUN,Mohali,ValueShip,673.2,1.9,5,3115.59,3,14,0,0,1.3,2,Retail,COD,2,Delivered on time,0
SHP001674,2024-05-07,WH-DEL,Bengaluru,CityRunner,2099.6,0.21,3,3512.94,2,8,0,0,6.6,0,Wholesale,Wallet,4,Reattempt scheduled,1
SHP005944,2024-06-22,WH-PUN,Jaipur,CityRunner,1752.6,7.05,4,3257.53,3,20,1,0,0.0,1,Wholesale,Wallet,5,Reattempt scheduled,1
SHP000052,2024-11-23,WH-DEL,Chandigarh,IndiaPost Express,1724.9,0.77,3,3452.79,3,18,1,1,5.4,2,Business,COD,5,,1
SHP000596,2024-05-11,WH-CHD,Gurugram,CityRunner,1807.7,1.95,3,4185.7,3,9,1,0,10.9,2,Wholesale,COD,6,Customer unavailable,1
SHP000775,2024-01-17,WH-PUN,Indore,BlueDart Lite,2345.3,,9,5141.97,3,17,0,0,8.4,2,Wholesale,Netbanking,4,Address updated,1
SHP008994,2024-02-18,WH-BLR,Bengaluru,CityRunner,63.5,5.18,2,587.45,2,10,1,0,7.7,1,Retail,Netbanking,1,,0
SHP002739,2024-09-08,WH-CHD,JAIPUR,BlueDart Lite,1971.9,1.58,4,5523.93,3,18,1,0,6.2,0,Wholesale,Netbanking,2,,0
SHP000042,2024-09-05,WH-DEL,Bengaluru,CityRunner,545.2,4.55,5,4621.6,3,18,0,0,11.6,1,Business,UPI,2,,0
SHP007591,2024-11-15,WH-BLR,Guwahati,IndiaPost Express,195.3,3.79,3,3144.67,5,13,0,1,2.3,1,Business,Card,3,Delivered on time,0
SHP000679,2024-12-29,WH-BLR,Bengaluru,SwiftEx,56.5,2.48,2,645.29,3,14,1,0,3.2,1,Wholesale,COD,2,,0
SHP006626,2024-02-22,WH-PUN,Pune,IndiaPost Express,59.4,6.2,1,1262.0,4,18,0,0,0.0,1,Wholesale,UPI,2,Delivered on time,0
SHP007214,2024-05-04,WH-CHD,Lucknow,SwiftEx,1076.3,1.71,1,1126.78,3,18,1,1,4.6,0,Business,UPI,3,Delivered on time,0
SHP007353,2024-03-23,WH-CHD,Indore,SwiftEx,1942.7,3.11,4,3684.75,3,18,1,0,0.0,0,Retail,Netbanking,1,Delivered on time,0
SHP002976,2024-11-01,WH-DEL,Patna,BlueDart Lite,1762.7,4.74,3,1466.8,3,18,0,1,11.9,0,Retail,Netbanking,2,,0
SHP005779,2024-07-18,WH-PUN,Lucknow,BlueDart Lite,1130.2,2.36,4,Rs. 3256.65,2,15,0,0,,1,Wholesale,Card,1,Left with guard,0
SHP002927,2024-12-08,WH-BLR,Jaipur,ValueShip,2617.4,5.74,3,2155.17,2,8,1,0,9.5,0,Wholesale,Netbanking,6,,1
SHP005210,2024-03-29,WH-CHD,Mohali,ValueShip,2577.6,0.57,3,2826.79,3,14,0,0,11.1,0,Business,Netbanking,4,,1
SHP001348,2024-07-25,WH-PUN,Ludhiana,CityRunner,1595.5,0.25,1,1090.5,3,10,0,0,0.0,2,Retail,Netbanking,1,,0
SHP008975,2024-11-04,WH-CHD,Mohali,ValueShip,274.7,0.66,3,4103.13,3,20,0,0,0.0,1,Business,UPI,1,,0
SHP008126,2024-12-24,WH-BLR,Mohali,SwiftEx,2960.5,0.65,4,1955.83,3,18,0,0,0.0,0,Business,Card,3,,0
SHP005521,2024-06-16,WH-PUN,Mohali,SwiftEx,1435.9,4.52,7,1306.23,3,13,1,0,0.7,0,Retail,UPI,3,Left with guard,0
SHP008910,2024-12-26,WH-CHD,Patna,BlueDart Lite,652.3,2.28,1,1044.13,4,8,0,0,8.9,0,Wholesale,Wallet,4,Left with guard,0
SHP006524,2024-12-28,WH-BLR,Delhi,ValueShip,2147.1,2.44,4,1934.58,4,12,1,0,1.3,1,Retail,Wallet,4,,0
SHP007337,2024-01-22,WH-PUN,Guwahati,IndiaPost Express,2227.6,3.42,2,2344.92,4,15,0,0,1.4,0,Business,Wallet,3,,0
SHP002092,2024-03-02,WH-PUN,Patna,SwiftEx,677.4,1.16,2,621.06,4,17,1,0,9.4,,Business,COD,3,,0
SHP000758,2024-06-17,WH-CHD,Mohali,CityRunner,1288.8,2.9,6,5421.18,3,8,0,0,0.0,0,Wholesale,COD,1,,0
SHP000701,2024-09-20,WH-DEL,Bengaluru,CityRunner,264.7,0.89,5,6824.06,4,20,0,0,7.6,0,Retail,Netbanking,2,,0
SHP000465,2024-12-26,WH-BLR,Guwahati,IndiaPost Express,2115.4,1.18,3,3212.71,2,15,0,0,0.0,1,Wholesale,Wallet,3,Customer unavailable,1
SHP005661,2024-05-03,WH-BLR,Guwahati,SwiftEx,1326.6,4.15,1,419.44,5,21,0,0,8.2,0,Retail,Netbanking,5,Left with guard,0
SHP001454,2024-01-05,WH-BLR,Pune,SwiftEx,2284.9,0.88,1,800.02,4,10,0,0,4.0,0,Retail,COD,3,Left with guard,0
SHP007878,2024-04-04,WH-CHD,Indore,IndiaPost Express,1337.7,1.61,6,3022.11,2,14,0,0,3.7,1,Business,COD,2,,0
SHP005837,2024-12-27,WH-CHD,LUCKNOW,SwiftEx,1757.2,2.32,4,4954.49,4,8,0,0,0.0,2,Retail,UPI,4,,0
SHP004456,2024-07-22,WH-DEL,gurugram,ValueShip,389.2,1.92,3,2156.86,2,11,0,0,12.0,1,Retail,COD,4,,1
SHP003376,2024-07-07,WH-CHD,Jaipur,SwiftEx,1480.4,2.18,1,1066.99,2,10,1,0,1.0,0,Wholesale,Card,2,,0
SHP002133,2024-07-16,WH-CHD,Patna,CityRunner,1663.5,2.36,1,814.97,3,12,0,0,1.9,0,Business,Card,2,Left with guard,0
SHP005923,2024-01-12,WH-DEL,Gurugram,ValueShip,1887.9,5.77,2,1653.59,5,8,0,0,1.5,1,Retail,Netbanking,5,,0
SHP004697,2024-02-17,WH-BLR,Ludhiana,ValueShip,451.7,3.03,1,319.79,4,19,1,0,,1,Retail,Netbanking,3,,0
SHP004154,2024-05-02,WH-DEL,Pune,CityRunner,1872.7,1.34,3,4092.95,5,20,0,0,12.8,0,Wholesale,COD,4,Delivered on time,0
SHP000759,2024-02-20,WH-PUN,Chandigarh,ValueShip,1063.7,5.46,1,584.51,3,8,0,1,7.7,0,Retail,COD,3,,0
SHP008758,2024-01-18,WH-PUN,Guwahati,CityRunner,1327.5,2.0,4,4266.15,4,10,0,0,0.0,0,Wholesale,Wallet,4,,0
SHP000747,2024-11-11,WH-CHD,Jaipur,ValueShip,875.0,2.46,3,3110.71,4,9,0,0,0.0,2,Retail,Wallet,3,Delivered on time,0
SHP000077,2024-12-07,WH-DEL,Gurugram,ValueShip,1272.5,4.27,2,1939.17,3,20,1,0,0.0,0,Retail,Card,2,,0
SHP005079,2024-01-31,WH-CHD,Bengaluru,BlueDart Lite,1659.5,4.7,2,704.17,5,17,0,0,0.0,0,Retail,Wallet,5,,0
SHP004666,2024-07-12,WH-CHD,Lucknow,SwiftEx,1868.8,2.03,5,5115.71,3,13,0,0,0.1,0,Business,COD,5,Reattempt scheduled,1
SHP000344,2024-03-19,WH-BLR,Lucknow,SwiftEx,1349.9,2.64,5,3252.71,4,10,0,0,9.2,1,Business,COD,5,,1
SHP006791,2024-09-06,WH-PUN,pune,BlueDart Lite,62.8,2.62,2,692.98,4,19,0,0,5.6,0,Retail,Netbanking,3,,0
SHP003690,2024-02-06,WH-BLR,Gurugram,ValueShip,391.4,2.85,4,1639.89,2,21,0,0,9.5,1,Business,Wallet,3,,1
SHP006805,2024-11-26,WH-DEL,Jaipur,CityRunner,2094.3,2.38,6,2036.0,3,20,0,1,1.1,0,Wholesale,Netbanking,5,Customer unavailable,1
SHP002233,2024-08-13,WH-PUN,BENGALURU,ValueShip,987.3,1.98,3,1554.79,2,17,0,0,1.5,1,Wholesale,Wallet,3,,1
SHP001285,2024-03-22,WH-DEL,Mohali,CityRunner,578.8,1.51,6,3020.84,4,11,0,0,7.7,0,Business,Card,2,Delivered on time,0
